Organisation.1,Relationship,Organisation.2
Village Enterprise,receives transaction funding from,"The Global Development Incubator, Inc"
Plan International UK,receives activity funding from,United Nations Office for the Coordination of Humanitarian Affairs (OCHA)
ACTIONAID INTERNATIONAL KENYA,receives transaction funding from,PwC
Sightsavers,has project implemented by,HelpAge International
United Nations Capital Development Fund,receives activity funding from,"UK - Foreign, Commonwealth and Development Office"
International Labour Organization (ILO),receives transaction funding from,Switzerland - Swiss Agency for Development and Cooperation (SDC)
"UK - Foreign, Commonwealth and Development Office",has project implemented by,Christian Aid
"UK - Foreign, Commonwealth and Development Office",has project implemented by,The Asia Foundation
Mercy Corps Europe,has project implemented by,Stichting Vluchteling
Belgian Development Cooperation,provides transaction funding to,Plan International Belgium
Netherlands - Ministry of Foreign Affairs,has project implemented by,Transnational Institute
Danish Refugee Council,has project implemented by,MapAction
Hivos,provides transaction funding to,Mondiaal FNV
European Commission - Humanitarian Aid & Civil Protection,has project implemented by,United Nations High Commissioner for Refugees (UNHCR)
International Development Law Organization (IDLO),receives activity funding from,Netherlands - Ministry of Foreign Affairs
PAX,provides transaction funding to,Amnesty International The Netherlands
Ireland - Department of Foreign Affairs and Trade,provides transaction funding to,Democratic Governance Facility
openmindedly,provides transaction funding to,Street Child
Overseas Development Institute,receives transaction funding from,United Nations Capital Development Fund
Association of Commonwealth Universities,has project implemented by,University of Edinburgh
Danish Refugee Council,receives transaction funding from,United States Agency for International Development (USAID)
Welbodi Partnership,receives transaction funding from,MannionDaniels
Overseas Development Institute,receives transaction funding from,The World Bank
Stichting Health Action International,receives transaction funding from,Amref Flying Doctors
Forum Universitaire pour la Coopération Internationale au Développement -FUCID ASBL,receives transaction funding from,Belgian Development Cooperation
LTS International Limited,receives transaction funding from,Climate Policy Initiative
International Development Law Organization (IDLO),receives activity funding from,Stichting Nederlands Instituut voor Internationale Betrekkingen 'Clingendael'
World Vision Netherlands,receives transaction funding from,Terre des Hommes Netherlands
MannionDaniels,provides transaction funding to,ADRA-UK
International Crisis Group,receives activity funding from,Netherlands - Ministry of Foreign Affairs
UNITAID,provides transaction funding to,Clinton Health Access Initiative
MannionDaniels,provides transaction funding to,EMMS International
MannionDaniels,has project implemented by,Ajuda de Desenvolvimento de Povo para Povo (ADPP)
EngenderHealth Ethiopia,has project implemented by,Triggerise Ethiopia
SOS Children's Villages The Netherlands,provides transaction funding to,CARE Nederland
British Red Cross,provides transaction funding to,International Federation of the Red Cross and Red Crescent (IFRC)
Cordaid,receives transaction funding from,Conseil et Appui pour l'Education à la Base Mali
"UK - Foreign, Commonwealth and Development Office",provides transaction funding to,Hivos
Mama Cash,provides transaction funding to,Just Associates
Netherlands Enterprise Agency,has project implemented by,SNV Netherlands Development Organisation
The International Rescue Committee,has project implemented by,Concern Worldwide UK
UNICEF Netherlands National Committee,receives activity funding from,Giro555 (Stichting Samenwerkende Hulporganisaties)
Concern Worldwide UK,receives transaction funding from,Oxfam GB
Ireland - Department of Foreign Affairs and Trade,provides transaction funding to,United Nations Children's Fund (UNICEF)
CIVICUS World Alliance for Citizen Participation,receives transaction funding from,Netherlands - Ministry of Foreign Affairs
SNV Netherlands Development Organisation,has project implemented by,AgriProFocus
Instiglio,receives activity funding from,"The Global Development Incubator, Inc"
Wellfound,receives activity funding from,"UK - Foreign, Commonwealth and Development Office"
CGIAR,receives transaction funding from,Netherlands Enterprise Agency
Viva,provides transaction funding to,CRANE
World Vision Netherlands,receives transaction funding from,Plan International Netherlands
Netherlands - Ministry of Foreign Affairs,has project implemented by,Fair Wear Foundation
Concern Worldwide UK,receives activity funding from,"UK - Foreign, Commonwealth and Development Office"
"Denmark - Ministry of Foreign Affairs, Danida",provides transaction funding to,CARE Danmark Fonden for Frivillig Ulandsbistand
"UK - Foreign, Commonwealth and Development Office",has project implemented by,Conflict Dynamics International
MAG,provides transaction funding to,The HALO Trust
Commune de Ifangni - Bénin,receives activity funding from,Ministère de l'Economie et des Finances du Bénin
Sociaal-Economische Raad,receives activity funding from,Netherlands - Ministry of Foreign Affairs
The MENTOR Initiative,receives transaction funding from,"UK - Foreign, Commonwealth and Development Office"
AICS - Agenzia Italiana per la Cooperazione allo Sviluppo / Italian Agency for Cooperation and Development,has project implemented by,African Development Bank
United Nations Children's Fund (UNICEF),receives activity funding from,"Sweden, through Swedish International Development Cooperation Agency (Sida)"
The International Rescue Committee,provides transaction funding to,HelpAge International
PUM Netherlands,receives transaction funding from,Netherlands - Ministry of Foreign Affairs
HelpAge International UK,receives transaction funding from,Oxfam GB
PAX,receives transaction funding from,Netherlands - Ministry of Foreign Affairs
openmindedly,provides transaction funding to,CARE International UK
Bangladesh Nari Progati Sangha,receives activity funding from,Simavi
Both ENDS,has project implemented by,Milieudefensie
Practical Action,receives activity funding from,Oxford Policy Management
ITECO - Centre de formation pour le développement,receives transaction funding from,Belgian Development Cooperation
CARE SOMALIA,receives transaction funding from,CARE International UK
SOS Children's Villages The Netherlands,has project implemented by,Terre des Hommes Netherlands
"WO=MEN, Dutch Gender Platform",receives activity funding from,Netherlands - Ministry of Foreign Affairs
European Commission - Humanitarian Aid & Civil Protection,has project implemented by,War Child Holland
Oxfam Novib,receives activity funding from,Oxfam Intermón
United Nations Children's Fund (UNICEF),has project implemented by,Food and Agriculture Organization of the United Nations (FAO)
MannionDaniels,provides transaction funding to,Developments In Literacy Trust UK
War Child Holland,receives transaction funding from,United Nations Children's Fund (UNICEF)
"UK - Department for Environment, Food and Rural Affairs",receives activity funding from,"UK - Department for Business, Energy and Industrial Strategy (BEIS)"
Malaria Consortium,receives activity funding from,Bill & Melinda Gates Foundation
Netherlands Enterprise Agency,has project implemented by,VEI (Vitens-Evides International)
International Organization for Migration (IOM),receives activity funding from,France - Ministry for Europe and Foreign Affairs
MannionDaniels,has project implemented by,Agency for Cooperation and Research in Development (ACORD)
"UK - Foreign, Commonwealth and Development Office",has project implemented by,People In Aid
"UK - Foreign, Commonwealth and Development Office",provides transaction funding to,Nathan Associates London Ltd.
HelpAge International,receives activity funding from,Cordaid
Trocaire,receives transaction funding from,Crown Agents Limited
MannionDaniels,has project implemented by,The Leprosy Mission England and Wales
Nepal Netra Jyoti Sangh,is accountable to,Orbis Charitable Trust
DAI Europe,provides transaction funding to,Itad
ActionAid Ghana,receives transaction funding from,ActionAid UK
"UK - Foreign, Commonwealth and Development Office",provides transaction funding to,Triple Line
"Denmark - Ministry of Foreign Affairs, Danida",provides transaction funding to,ActionAid Denmark (Mellemfolkeligt Samvirke)
MSI Reproductive Choices,has project implemented by,Blue Ventures Conservation
Plan International UK,has project implemented by,Water & Sanitation for the Urban Poor (WSUP)
CABI,has project implemented by,International Food Policy Research Institute
United Nations Children's Fund (UNICEF),receives activity funding from,International Fund for Agricultural Development (IFAD)
"UK - Foreign, Commonwealth and Development Office",has project implemented by,Adventist Development and Relief Agency (ADRA Somalia)
Netherlands - Ministry of Foreign Affairs,provides transaction funding to,United Nations World Food Programme (WFP)
World Child Cancer UK,receives transaction funding from,MannionDaniels
COWI,receives activity funding from,"UK - Foreign, Commonwealth and Development Office"
World Benchmarking Alliance Foundation,receives transaction funding from,Netherlands - Ministry of Foreign Affairs
Solidaridad Europe,receives transaction funding from,UNICEF Netherlands National Committee
"UK - Foreign, Commonwealth and Development Office",has project implemented by,IntraHealth International
Ministère de l'Economie et des Finances du Bénin,provides transaction funding to,Commune de Toffo - Bénin
Win Win Strategies,receives activity funding from,Netherlands - Ministry of Foreign Affairs
Stichting Beheer Subsidiegelden DRA,has project implemented by,Cordaid
Elton John AIDS Foundation,provides transaction funding to,Frontline AIDS
partos,receives activity funding from,Cordaid
Akvo Foundation,receives activity funding from,Solidaridad West Africa
Adam Smith International,receives transaction funding from,Germany - Ministry for Economic Cooperation and Development
Netherlands - Ministry of Foreign Affairs,provides transaction funding to,"UK - Foreign, Commonwealth and Development Office"
Simavi,has budget/direction managed by,WASH Alliance International
Publish What You Fund,receives transaction funding from,Friends of Publish What You Fund
Voluntary Service Overseas (VSO),has project implemented by,Handicap International UK
United Nations High Commissioner for Refugees (UNHCR),receives activity funding from,International Organization for Migration (IOM)
Plan International UK,has project implemented by,Save the Children International
Wetlands International,receives activity funding from,Simavi
Cordaid,has project implemented by,Women Peacemakers Program
Charity Projects Ltd (Comic Relief),provides transaction funding to,Theatre for a Change UK
Charity Projects Ltd (Comic Relief),provides transaction funding to,Retrak
United Disabled Persons of Kenya,has project implemented by,Federation of Women Lawyers Kenya
Oxfam Solidarité-Solidariteit,has project implemented by,Miel Maya Honing asbl
HelpAge International,receives activity funding from,Relief International UK
ZOA,receives activity funding from,CARE Nederland
CARE international foundation Switzerland in Sudan,receives transaction funding from,Netherlands - Ministry of Foreign Affairs
UN Pooled Funds,has project implemented by,United Nations World Food Programme (WFP)
Oxfam Novib,receives transaction funding from,Food and Agriculture Organization of the United Nations (FAO)
MannionDaniels,provides transaction funding to,Mercy Ships UK Limited
Confederation of Danish Industry,receives transaction funding from,Danish Trade Union Development Agency (Ulandssekretariatet)
Development Initiatives Poverty Research,receives activity funding from,"Sweden, through Swedish International Development Cooperation Agency (Sida)"
KPMG East Africa,has project implemented by,Internews Europe
Baylor College of Medicine Children's Foundation Malawi,has budget/direction managed by,MannionDaniels
Cordaid,has project implemented by,War Child Holland
Plan International Netherlands,provides transaction funding to,CHOICE for Youth and Sexuality
Concern Worldwide UK,receives transaction funding from,International Organization for Migration (IOM)
IMC WORLDWIDE,provides transaction funding to,World Education Inc.
ZOA,receives transaction funding from,"UK - Foreign, Commonwealth and Development Office"
Orbis Africa,receives transaction funding from,Orbis Charitable Trust
"UK - Foreign, Commonwealth and Development Office",provides transaction funding to,CDC Group plc
Belgian Development Cooperation,provides transaction funding to,Trias
International Organization for Migration (IOM),receives activity funding from,World Vision International
Dynamo International asbl,receives transaction funding from,Belgian Development Cooperation
"UK - Foreign, Commonwealth and Development Office",provides transaction funding to,International Organization for Migration (IOM)
MannionDaniels,provides transaction funding to,Internews Europe
People in Need,receives activity funding from,New Zealand - Ministry of Foreign Affairs and Trade - New Zealand Aid Programme
Netherlands Enterprise Agency,has project implemented by,BoP Innovation Center
Concern Worldwide,provides transaction funding to,Ipas
Netherlands - Ministry of Foreign Affairs,has project implemented by,ICCO Cooperation
Trias,receives transaction funding from,Belgian Development Cooperation
Mercy Corps Europe,receives activity funding from,The Coca-Cola Export Corporation
Restless Development,receives transaction funding from,MSI Reproductive Choices
Sightsavers,receives activity funding from,"UK - Foreign, Commonwealth and Development Office"
British Council,has project implemented by,Pact
International Labour Organization (ILO),receives transaction funding from,International Organization for Migration (IOM)
Sightsavers,has project implemented by,BRAC UK
PwC,provides transaction funding to,Nathan Associates London Ltd.
TEAR fund Nederland,receives activity funding from,Oxfam Novib
Coffey International Development,provides transaction funding to,Social Development Direct Limited
The William and Flora Hewlett Foundation,has project implemented by,The Foundation Center
Stichting Beheer Subsidiegelden DRA,provides transaction funding to,War Child Holland
"UK - Foreign, Commonwealth and Development Office",has project implemented by,University of Leeds
Stichting Vluchteling,receives activity funding from,World Vision Netherlands
Fairtrade Belgium,receives activity funding from,Belgian Development Cooperation
Netherlands - Ministry of Foreign Affairs,provides transaction funding to,Penal Reform International
Restless Development,receives transaction funding from,Christian Aid
Save the Children Netherlands,provides transaction funding to,Oxfam Novib
"UK - Foreign, Commonwealth and Development Office",provides transaction funding to,Amnesty International UK Section Charitable Trust
Broederlijk Delen,receives activity funding from,Studio Globo
Simavi,provides transaction funding to,RUAF Foundation
Belgian Development Cooperation,provides transaction funding to,Damiaanactie / Action Damien
Frontline AIDS,receives activity funding from,"Sweden, through Swedish International Development Cooperation Agency (Sida)"
Practical Action,receives transaction funding from,DanChurchAid
"UK - Foreign, Commonwealth and Development Office",has project implemented by,Acumen
Norwegian People's Aid,receives transaction funding from,MAG
Netherlands - Ministry of Foreign Affairs,provides transaction funding to,World Vision UK
MannionDaniels,has project implemented by,Protecting Families Against HIV/AIDS
CARE International UK,provides transaction funding to,Save the Children UK
MannionDaniels,has project implemented by,Raleigh International
Plan International Netherlands,provides transaction funding to,Defence for Children International Netherlands - ECPAT Netherlands
CGIAR,receives transaction funding from,Japan International Cooperation Agency (JICA)
ICCO Cooperation,has project implemented by,Mensen met een Missie
IntraHealth International,receives activity funding from,Netherlands - Ministry of Foreign Affairs
Damiaanactie / Action Damien,receives transaction funding from,Belgian Development Cooperation
Mercy Corps Europe,receives transaction funding from,"UK - Foreign, Commonwealth and Development Office"
Handicap International UK,is accountable to,Danish Refugee Council
Oxfam Novib,receives transaction funding from,CARE International UK
Practical Action,receives activity funding from,CDC Group plc
"UK - Foreign, Commonwealth and Development Office",has project implemented by,Water & Sanitation for the Urban Poor (WSUP)
"UK - Foreign, Commonwealth and Development Office",has project implemented by,Progressio (closed)
Girls’ Education Challenge – Fund Manager PwC,provides transaction funding to,Education Development Trust
Frontline AIDS,receives transaction funding from,"Sweden, through Swedish International Development Cooperation Agency (Sida)"
European Commission - Humanitarian Aid & Civil Protection,has project implemented by,Oxfam Solidarité-Solidariteit
Karuna Mission Social Solidarity - KMSS,receives activity funding from,Catholic Relief Services
Danish Refugee Council,receives transaction funding from,The International Rescue Committee
Simavi,has project implemented by,Chama cha Uzazi na Malezi Bora Tanzania (UMATI)
ECDPM,receives transaction funding from,Netherlands - Ministry of Foreign Affairs
MannionDaniels,has project implemented by,Islamic Relief Worldwide
